"TabName","AssumptionID","Address","Section","DataType","DefaultValue","Description"
"Assumptions","FederalTaxRate","$C$3","Global Assumptions","Pct","0.21","Federal corporate income tax rate"
"Assumptions","ScenarioName","$C$4","Global Assumptions","Text","Base","Active scenario label for exports and snapshots"
"Assumptions","ActiveProgramCount","$C$5","Global Assumptions","Number","10","Number of active programs for fee/expense scaling (no re-run needed)"
"UW Inputs","UWIN_S1P1_BU","$B$6","UW Inputs","Text","West",""
"UW Inputs","UWIN_S1P1_NAME","$C$6","UW Inputs","Text","Base Case GL",""
"UW Inputs","UWIN_S1P1_TERM","$D$6","UW Inputs","Number","12",""
"UW Inputs","UWIN_S1P1_GWP1","$E$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP2","$F$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP3","$G$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP4","$H$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP5","$I$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP6","$J$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP7","$K$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP8","$L$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP9","$M$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP10","$N$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP11","$O$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP12","$P$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP13","$Q$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP14","$R$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP15","$S$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP16","$T$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP17","$U$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP18","$V$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP19","$W$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GWP20","$X$6","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P1_GROW","$Y$6","UW Inputs","Pct","0",""
"UW Inputs","UWIN_S2P1_COMM1","$E$19","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P1_COMM2","$F$19","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P1_COMM3","$G$19","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P1_COMM4","$H$19","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P1_COMM5","$I$19","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S3P1A_PAT","$D$32","UW Inputs","Text","Casualty",""
"UW Inputs","UWIN_S3P1A_LD","$E$32","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P1A_CD","$F$32","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P1A_ELR1","$G$32","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P1A_ELR2","$H$32","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P1A_ELR3","$I$32","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P1A_ELR4","$J$32","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P1A_SEV","$K$32","UW Inputs","Number","50000",""
"UW Inputs","UWIN_S3P1S_PAT","$D$33","UW Inputs","Text","Casualty",""
"UW Inputs","UWIN_S3P1S_LD","$E$33","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P1S_CD","$F$33","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P1S_ELR1","$G$33","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P1S_ELR2","$H$33","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P1S_ELR3","$I$33","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P1S_ELR4","$J$33","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P1S_SEV","$K$33","UW Inputs","Number","150000",""
"UW Inputs","UWIN_S3P1C_PAT","$D$34","UW Inputs","Text","Property",""
"UW Inputs","UWIN_S3P1C_LD","$E$34","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P1C_CD","$F$34","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P1C_ELR1","$G$34","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P1C_ELR2","$H$34","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P1C_ELR3","$I$34","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P1C_ELR4","$J$34","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P1C_SEV","$K$34","UW Inputs","Number","100000",""
"UW Inputs","UWIN_S4P1_CEDE1","$E$65","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P1_COMM1","$F$65","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P1_FEE1","$G$65","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P1_CEDE2","$H$65","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P1_COMM2","$I$65","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P1_FEE2","$J$65","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P1_CEDE3","$K$65","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P1_COMM3","$L$65","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P1_FEE3","$M$65","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P1_CEDE4","$N$65","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P1_COMM4","$O$65","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P1_FEE4","$P$65","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P1_CEDE5","$Q$65","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P1_COMM5","$R$65","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P1_FEE5","$S$65","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S5P1_CAT1","$E$78","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P1_OTH1","$J$78","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P1_CAT2","$F$78","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P1_OTH2","$K$78","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P1_CAT3","$G$78","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P1_OTH3","$L$78","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P1_CAT4","$H$78","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P1_OTH4","$M$78","UW Inputs","Number","0",""
