EntityName,CalPeriod,CalQuarter,CalYear,G_WP,G_EP,G_WComm,G_EComm,G_WFrontFee,G_EFrontFee,G_Paid,G_CaseRsv,G_CaseInc,G_IBNR,G_Unpaid,G_Ult,G_ClsCt,G_OpenCt,G_RptCt,G_UltCt,C_WP,C_EP,C_WComm,C_EComm,C_WFrontFee,C_EFrontFee,C_Paid,C_CaseRsv,C_CaseInc,C_IBNR,C_Unpaid,C_Ult,C_ClsCt,C_OpenCt,C_RptCt,C_UltCt,N_WP,N_EP,N_WComm,N_EComm,N_WFrontFee,N_EFrontFee,N_Paid,N_CaseRsv,N_CaseInc,N_IBNR,N_Unpaid,N_Ult,N_ClsCt,N_OpenCt,N_RptCt,N_UltCt,G_IBNRCt,G_UnclosedCt,C_IBNRCt,C_UnclosedCt,N_IBNRCt,N_UnclosedCt,CQ_WP,CQ_EP,XC_WP,XC_EP,XO_WP,XO_EP
Base Case GL,1.000000,1.000000,1.000000,333333.333333,13888.888889,83333.333333,3472.222222,16666.666667,694.444444,98.880161,46.868677,145.748838,9576.473384,9623.342061,9722.222222,0.001252,0.000607,0.001859,0.168981,300000.000000,12500.000000,75000.000000,3125.000000,0.000000,0.000000,0.004910,1.601795,1.606705,8123.393295,8124.995090,8125.000000,0.000001,0.000041,0.000041,0.162037,33333.333333,1388.888889,8333.333333,347.222222,16666.666667,694.444444,98.875251,45.266882,144.142134,1453.080089,1498.346971,1597.222222,0.001251,0.000566,0.001818,0.006944,0.167123,0.167730,0.161996,0.162036,0.005127,0.005693,300000.000000,12500.000000,0.000000,0.000000,0.000000,0.000000
Base Case GL,2.000000,1.000000,1.000000,333333.333333,41666.666667,83333.333333,10416.666667,16666.666667,2083.333333,413.742019,224.972649,638.714669,28527.951998,28752.924647,29166.666667,0.005217,0.003205,0.008423,0.506944,300000.000000,37500.000000,75000.000000,9375.000000,0.000000,0.000000,1.150625,46.749854,47.900479,24327.099521,24373.849375,24375.000000,0.000074,0.001112,0.001187,0.486111,33333.333333,4166.666667,8333.333333,1041.666667,16666.666667,2083.333333,412.591395,178.222795,590.814190,4200.852477,4379.075272,4791.666667,0.005143,0.002093,0.007236,0.020833,0.498522,0.501727,0.484924,0.486037,0.013598,0.015690,300000.000000,37500.000000,0.000000,0.000000,0.000000,0.000000
Base Case GL,3.000000,1.000000,1.000000,333333.333333,69444.444444,83333.333333,17361.111111,16666.666667,3472.222222,936.008846,615.712729,1551.721575,47059.389536,47675.102265,48611.111111,0.011943,0.009527,0.021470,0.844907,300000.000000,62500.000000,75000.000000,15625.000000,0.000000,0.000000,11.166782,234.937479,246.104260,40378.895740,40613.833218,40625.000000,0.000596,0.005406,0.006002,0.810185,33333.333333,6944.444444,8333.333333,1736.111111,16666.666667,3472.222222,924.842064,380.775250,1305.617315,6680.493796,7061.269047,7986.111111,0.011347,0.004121,0.015468,0.034722,0.823437,0.832964,0.804184,0.809589,0.019254,0.023375,300000.000000,62500.000000,0.000000,0.000000,0.000000,0.000000
Base Case GL,4.000000,2.000000,1.000000,333333.333333,97222.222222,83333.333333,24305.555556,16666.666667,4861.111111,1633.913170,1293.480607,2927.393777,65128.161779,66421.642385,68055.555556,0.021466,0.021054,0.042520,1.182870,300000.000000,87500.000000,75000.000000,21875.000000,0.000000,0.000000,49.133421,662.019065,711.152486,56163.847514,56825.866579,56875.000000,0.002317,0.014805,0.017122,1.134259,33333.333333,9722.222222,8333.333333,2430.555556,16666.666667,4861.111111,1584.779749,631.461542,2216.241291,8964.314265,9595.775806,11180.555556,0.019149,0.006249,0.025399,0.048611,1.140350,1.161404,1.117138,1.131942,0.023213,0.029462,300000.000000,87500.000000,0.000000,0.000000,0.000000,0.000000
Base Case GL,5.000000,2.000000,1.000000,333333.333333,125000.000000,83333.333333,31250.000000,16666.666667,6250.000000,2507.161968,2300.820487,4807.982455,82692.017545,84992.838032,87500.000000,0.034299,0.038447,0.072746,1.520833,300000.000000,112500.000000,75000.000000,28125.000000,0.000000,0.000000,143.152722,1380.622013,1523.774735,71601.225265,72981.847278,73125.000000,0.006162,0.030138,0.036299,1.458333,33333.333333,12500.000000,8333.333333,3125.000000,16666.666667,6250.000000,2364.009246,920.198474,3284.207721,11090.792279,12010.990754,14375.000000,0.028137,0.008309,0.036446,0.062500,1.448088,1.486535,1.422034,1.452172,0.026054,0.034363,300000.000000,112500.000000,0.000000,0.000000,0.000000,0.000000
Base Case GL,6.000000,2.000000,1.000000,333333.333333,152777.777778,83333.333333,38194.444444,16666.666667,7638.888889,3569.396352,3649.051591,7218.447943,99725.996501,103375.048092,106944.444444,0.051078,0.061735,0.112814,1.858796,300000.000000,137500.000000,75000.000000,34375.000000,0.000000,0.000000,325.236108,2408.892434,2734.128542,86640.871458,89049.763892,89375.000000,0.013042,0.051511,0.064553,1.782407,33333.333333,15277.777778,8333.333333,3819.444444,16666.666667,7638.888889,3244.160244,1240.159158,4484.319402,13085.125043,14325.284200,17569.444444,0.038037,0.010224,0.048261,0.076389,1.745982,1.807718,1.717854,1.769366,0.028128,0.038352,300000.000000,137500.000000,0.000000,0.000000,0.000000,0.000000
Base Case GL,7.000000,3.000000,1.000000,333333.333333,180555.555556,83333.333333,45138.888889,16666.666667,9027.777778,4839.980881,5329.011418,10168.992298,116219.896591,121548.908008,126388.888889,0.072420,0.090595,0.163014,2.196759,300000.000000,162500.000000,75000.000000,40625.000000,0.000000,0.000000,627.479881,3743.088767,4370.568648,101254.431352,104997.520119,105625.000000,0.023769,0.078630,0.102399,2.106481,33333.333333,18055.555556,8333.333333,4513.888889,16666.666667,9027.777778,4212.500999,1585.922651,5798.423650,14965.465239,16551.387890,20763.888889,0.048651,0.011965,0.060616,0.090278,2.033745,2.124340,2.004083,2.082712,0.029662,0.041627,300000.000000,162500.000000,0.000000,0.000000,0.000000,0.000000
Base Case GL,8.000000,3.000000,1.000000,333333.333333,208333.333333,83333.333333,52083.333333,16666.666667,10416.666667,6339.625675,7319.659694,13659.285369,132174.047964,139493.707658,145833.333333,0.098858,0.124524,0.223383,2.534722,300000.000000,187500.000000,75000.000000,46875.000000,0.000000,0.000000,1079.848902,5366.744446,6446.593348,115428.406652,120795.151098,121875.000000,0.039025,0.110999,0.150024,2.430556,33333.333333,20833.333333,8333.333333,5208.333333,16666.666667,10416.666667,5259.776773,1952.915248,7212.692021,16745.641312,18698.556560,23958.333333,0.059833,0.013525,0.073359,0.104167,2.311339,2.435864,2.280531,2.391530,0.030808,0.044333,300000.000000,187500.000000,0.000000,0.000000,0.000000,0.000000
Base Case GL,9.000000,3.000000,1.000000,333333.333333,236111.111111,83333.333333,59027.777778,16666.666667,11805.555556,8088.083956,9593.814021,17681.897977,147595.879801,157189.693822,165277.777778,0.130835,0.162954,0.293789,2.872685,300000.000000,212500.000000,75000.000000,53125.000000,0.000000,0.000000,1709.088807,7256.615235,8965.704042,129159.295958,136415.911193,138125.000000,0.059361,0.148044,0.207405,2.754630,33333.333333,23611.111111,8333.333333,5902.777778,16666.666667,11805.555556,6378.995150,2337.198785,8716.193935,18436.583843,20773.782628,27152.777778,0.071474,0.014910,0.086384,0.118056,2.578896,2.741850,2.547225,2.695269,0.031671,0.046582,300000.000000,212500.000000,0.000000,0.000000,0.000000,0.000000
Base Case GL,10.000000,4.000000,1.000000,333333.333333,263888.888889,83333.333333,65972.222222,16666.666667,13194.444444,10103.018790,12121.757580,22224.776369,162497.445853,174619.203433,184722.222222,0.168693,0.205305,0.373998,3.210648,300000.000000,237500.000000,75000.000000,59375.000000,0.000000,0.000000,2538.326265,9386.393831,11924.720097,142450.279903,151836.673735,154375.000000,0.085207,0.189173,0.274380,3.078704,33333.333333,26388.888889,8333.333333,6597.222222,16666.666667,13194.444444,7564.692524,2735.363748,10300.056273,20047.165949,22782.529698,30347.222222,0.083486,0.016132,0.099618,0.131944,2.836650,3.041955,2.804324,2.993496,0.032327,0.048459,300000.000000,237500.000000,0.000000,0.000000,0.000000,0.000000
