"TabName","Address","Row","Col","Formula","Value","NumFmt","Bold","Italic","FillRGB"
"Exhibit 1","B4","4","2","","Year","General","True","False",""
"Exhibit 1","C4","4","3","","2026","General","True","False",""
"Exhibit 1","D4","4","4","","2027","General","True","False",""
"Exhibit 1","E4","4","5","","2028","General","True","False",""
"Exhibit 1","F4","4","6","","2029","General","True","False",""
"Exhibit 1","G4","4","7","","2030","General","True","False",""
"Exhibit 1","B5","5","2","","GWP","General","False","False",""
"Exhibit 1","C5","5","3","'UW Exec Summary'!G5","13740000","""$""0.0,,""M""","False","False",""
"Exhibit 1","D5","5","4","'UW Exec Summary'!L5","80945000","""$""0.0,,""M""","False","False",""
"Exhibit 1","E5","5","5","'UW Exec Summary'!Q5","157167500","""$""0.0,,""M""","False","False",""
"Exhibit 1","F5","5","6","'UW Exec Summary'!V5","281501250","""$""0.0,,""M""","False","False",""
"Exhibit 1","G5","5","7","'UW Exec Summary'!AA5","478001875","""$""0.0,,""M""","False","False",""
"Exhibit 1","B6","6","2","","NWP","General","False","False",""
"Exhibit 1","C6","6","3","'UW Exec Summary'!G9","381600","""$""0.0,,""M""","False","False",""
"Exhibit 1","D6","6","4","'UW Exec Summary'!L9","5129600","""$""0.0,,""M""","False","False",""
"Exhibit 1","E6","6","5","'UW Exec Summary'!Q9","26066525","""$""0.0,,""M""","False","False",""
"Exhibit 1","F6","6","6","'UW Exec Summary'!V9","92636100","""$""0.0,,""M""","False","False",""
"Exhibit 1","G6","6","7","'UW Exec Summary'!AA9","249590975","""$""0.0,,""M""","False","False",""
"Exhibit 1","B7","7","2","","Program Count","General","False","False",""
"Exhibit 1","C7","7","3","'UW Exec Summary'!G50","3","#,##0","False","False",""
"Exhibit 1","D7","7","4","'UW Exec Summary'!L50","8","#,##0","False","False",""
"Exhibit 1","E7","7","5","'UW Exec Summary'!Q50","14","#,##0","False","False",""
"Exhibit 1","F7","7","6","'UW Exec Summary'!V50","22","#,##0","False","False",""
"Exhibit 1","G7","7","7","'UW Exec Summary'!AA50","35","#,##0","False","False",""
"Exhibit 1","B8","8","2","","GWP per Program","General","True","False",""
"Exhibit 1","C8","8","3","C5/C7","4580000","""$""0.0,,""M""","True","False",""
"Exhibit 1","D8","8","4","D5/D7","10118125","""$""0.0,,""M""","True","False",""
"Exhibit 1","E8","8","5","E5/E7","11226250","""$""0.0,,""M""","True","False",""
"Exhibit 1","F8","8","6","F5/F7","12795511.363636363","""$""0.0,,""M""","True","False",""
"Exhibit 1","G8","8","7","G5/G7","13657196.428571429","""$""0.0,,""M""","True","False",""
"Exhibit 1","B10","10","2","","Net : Gross","General","False","False",""
"Exhibit 1","C10","10","3","C6/C5","2.7772925764192141E-2","0%","False","False",""
"Exhibit 1","D10","10","4","D6/D5","6.3371425041694976E-2","0%","False","False",""
"Exhibit 1","E10","10","5","E6/E5","0.16585187777371277","0%","False","False",""
"Exhibit 1","F10","10","6","F6/F5","0.32907882291819307","0%","False","False",""
"Exhibit 1","G10","10","7","G6/G5","0.52215480326306252","0%","False","False",""
"Exhibit 1","B11","11","2","","GWP : Program Growth","#,##0","False","False",""
"Exhibit 1","C11","11","3","","NA","0%","False","False",""
"Exhibit 1","D11","11","4","D8/C8-1","1.209197598253275","0%","False","False",""
"Exhibit 1","E11","11","5","E8/D8-1","0.10951880906788558","0%","False","False",""
"Exhibit 1","F11","11","6","F8/E8-1","0.13978500065795463","0%","False","False",""
"Exhibit 1","G11","11","7","G8/F8-1","6.7342761101669923E-2","0%","False","False",""
"Exhibit 1","B12","12","2","","GWP Growth","General","False","False",""
"Exhibit 1","C12","12","3","","NA","0%","False","False",""
"Exhibit 1","D12","12","4","D5/C5-1","4.8911935953420667","0%","False","False",""
"Exhibit 1","E12","12","5","","0.94165791586879988","0%","False","False",""
"Exhibit 1","F12","12","6","","0.79109071531964315","0%","False","False",""
"Exhibit 1","G12","12","7","","0.69804530175265644","0%","False","False",""
"Exhibit 1","B13","13","2","","NWP Growth","General","False","False",""
"Exhibit 1","C13","13","3","","NA","0%","False","False",""
"Exhibit 1","D13","13","4","","12.442348008385745","0%","False","False",""
"Exhibit 1","E13","13","5","","4.081590182470368","0%","False","False",""
"Exhibit 1","F13","13","6","","2.5538338923197474","0%","False","False",""
"Exhibit 1","G13","13","7","","1.6943165245514438","0%","False","False",""
"Exhibit 2","B4","4","2","","Year","General","True","False",""
"Exhibit 2","C4","4","3","","2026","General","True","False",""
"Exhibit 2","D4","4","4","","2027","General","True","False",""
"Exhibit 2","E4","4","5","","2028","General","True","False",""
"Exhibit 2","F4","4","6","","2029","General","True","False",""
"Exhibit 2","G4","4","7","","2030","General","True","False",""
"Exhibit 2","J4","4","10","","Staff","#,##0","True","False",""
"Exhibit 2","K4","4","11","","Group","#,##0","True","False",""
"Exhibit 2","L4","4","12","","Units","General","True","False",""
"Exhibit 2","M4","4","13","","% Time","General","True","False",""
"Exhibit 2","N4","4","14","","Per Program","General","True","False",""
"Exhibit 2","O4","4","15","","Programs Per Staff","General","True","False",""
"Exhibit 2","B5","5","2","","Executive Staff","General","False","False",""
"Exhibit 2","C5","5","3","C24","2","#,##0","False","False",""
"Exhibit 2","D5","5","4","","3","#,##0","False","False",""
"Exhibit 2","E5","5","5","","4","#,##0","False","False",""
"Exhibit 2","F5","5","6","","5","#,##0","False","False",""
"Exhibit 2","G5","5","7","","6","#,##0","False","False",""
"Exhibit 2","J5","5","10","","Executive","General","False","False",""
"Exhibit 2","K5","5","11","","Executive","General","False","False",""
"Exhibit 2","L5","5","12","","1","General","False","False",""
"Exhibit 2","M5","5","13","","0.1","0.0%","False","False",""
"Exhibit 2","N5","5","14","L5*M5","0.1","#,##0.00","False","False",""
"Exhibit 2","O5","5","15","1/N5","10","#,##0.00","False","False",""
"Exhibit 2","B6","6","2","","Sales Staff","General","False","False",""
"Exhibit 2","C6","6","3","","3","#,##0","False","False",""
"Exhibit 2","D6","6","4","","11","#,##0","False","False",""
"Exhibit 2","E6","6","5","","12","#,##0","False","False",""
"Exhibit 2","F6","6","6","","14","#,##0","False","False",""
"Exhibit 2","G6","6","7","","15","#,##0","False","False",""
"Exhibit 2","J6","6","10","","Sales & Marketing","General","False","False",""
"Exhibit 2","K6","6","11","","Sales","General","False","False",""
"Exhibit 2","L6","6","12","","1","General","False","False",""
"Exhibit 2","M6","6","13","","0.1","0.0%","False","False",""
"Exhibit 2","N6","6","14","L6*M6","0.1","#,##0.00","False","False",""
"Exhibit 2","O6","6","15","1/N6","10","#,##0.00","False","False",""
"Exhibit 2","B7","7","2","","Non-Sales Staff","General","False","False",""
"Exhibit 2","C7","7","3","SUM(C26:C32)","6","#,##0","False","False",""
"Exhibit 2","D7","7","4","SUM(D26:D32)","18","#,##0","False","False",""
"Exhibit 2","E7","7","5","SUM(E26:E32)","30","#,##0","False","False",""
"Exhibit 2","F7","7","6","SUM(F26:F32)","40","#,##0","False","False",""
"Exhibit 2","G7","7","7","SUM(G26:G32)","53","#,##0","False","False",""
"Exhibit 2","J7","7","10","","Technology","General","False","False",""
