"Name","DetailCol","CsvCol","Block","FieldClass","DefaultView","Format","BalGrp","DerivationRule","BalanceType"
"EntityName","1","0","","Dimension","","","","","Flow"
"CalPeriod","2","1","","Dimension","","","","","Flow"
"CalQuarter","3","2","","Dimension","","","","","Flow"
"CalYear","4","3","","Dimension","","","","","Flow"
"G_WP","5","4","GROSS","Incremental","Incremental","#,##0","Income","","Flow"
"G_EP","6","5","GROSS","Incremental","Incremental","#,##0","Income","","Flow"
"G_WComm","7","6","GROSS","Incremental","Incremental","#,##0","Income","","Flow"
"G_EComm","8","7","GROSS","Incremental","Incremental","#,##0","Income","","Flow"
"G_WFrontFee","9","8","GROSS","Incremental","Incremental","#,##0","Income","","Flow"
"G_EFrontFee","10","9","GROSS","Incremental","Incremental","#,##0","Income","","Flow"
"G_Paid","11","10","GROSS","Incremental","Incremental","#,##0","Loss","","Flow"
"G_CaseRsv","12","11","GROSS","Incremental","Incremental","#,##0","Reserve","","Balance"
"G_CaseInc","13","12","GROSS","Incremental","Incremental","#,##0","Loss","","Flow"
"G_IBNR","14","13","GROSS","Incremental","Incremental","#,##0","Reserve","","Balance"
"G_Unpaid","15","14","GROSS","Incremental","Incremental","#,##0","Reserve","","Balance"
"G_Ult","16","15","GROSS","Incremental","Incremental","#,##0","Loss","","Flow"
"G_ClsCt","17","16","GROSS","Incremental","Incremental","#,##0","Count","","Flow"
"G_OpenCt","18","17","GROSS","Incremental","Incremental","#,##0","Count","","Balance"
"G_RptCt","19","18","GROSS","Incremental","Incremental","#,##0","Count","","Flow"
"G_UltCt","20","19","GROSS","Incremental","Incremental","#,##0","Count","","Flow"
"C_WP","21","20","CEDED","Incremental","Incremental","#,##0","Income","","Flow"
"C_EP","22","21","CEDED","Incremental","Incremental","#,##0","Income","","Flow"
"C_WComm","23","22","CEDED","Incremental","Incremental","#,##0","Income","","Flow"
"C_EComm","24","23","CEDED","Incremental","Incremental","#,##0","Income","","Flow"
"C_WFrontFee","25","24","CEDED","Incremental","Incremental","#,##0","Income","","Flow"
"C_EFrontFee","26","25","CEDED","Incremental","Incremental","#,##0","Income","","Flow"
"C_Paid","27","26","CEDED","Incremental","Incremental","#,##0","Loss","","Flow"
"C_CaseRsv","28","27","CEDED","Incremental","Incremental","#,##0","Reserve","","Balance"
"C_CaseInc","29","28","CEDED","Incremental","Incremental","#,##0","Loss","","Flow"
"C_IBNR","30","29","CEDED","Incremental","Incremental","#,##0","Reserve","","Balance"
"C_Unpaid","31","30","CEDED","Incremental","Incremental","#,##0","Reserve","","Balance"
"C_Ult","32","31","CEDED","Incremental","Incremental","#,##0","Loss","","Flow"
"CQ_WP","59","58","CEDED","Incremental","Incremental","#,##0","Income","","Flow"
"CQ_EP","60","59","CEDED","Incremental","Incremental","#,##0","Income","","Flow"
"XC_WP","61","60","XOL","Incremental","Incremental","#,##0","Income","","Flow"
"XC_EP","62","61","XOL","Incremental","Incremental","#,##0","Income","","Flow"
"XO_WP","63","62","XOL","Incremental","Incremental","#,##0","Income","","Flow"
"XO_EP","64","63","XOL","Incremental","Incremental","#,##0","Income","","Flow"
"C_ClsCt","33","32","CEDED","Incremental","Incremental","#,##0","Count","","Flow"
"C_OpenCt","34","33","CEDED","Incremental","Incremental","#,##0","Count","","Balance"
"C_RptCt","35","34","CEDED","Incremental","Incremental","#,##0","Count","","Flow"
"C_UltCt","36","35","CEDED","Incremental","Incremental","#,##0","Count","","Flow"
"N_WP","37","36","NET","Derived","Incremental","#,##0","Income","G_WP - C_WP","Flow"
"N_EP","38","37","NET","Derived","Incremental","#,##0","Income","G_EP - C_EP","Flow"
