"EntityName","CalPeriod","CalQuarter","CalYear","G_WP","G_EP","G_WComm","G_EComm","G_WFrontFee","G_EFrontFee","G_Paid","G_CaseRsv","G_CaseInc","G_IBNR","G_Unpaid","G_Ult","G_ClsCt","G_OpenCt","G_RptCt","G_UltCt","C_WP","C_EP","C_WComm","C_EComm","C_WFrontFee","C_EFrontFee","C_Paid","C_CaseRsv","C_CaseInc","C_IBNR","C_Unpaid","C_Ult","C_ClsCt","C_OpenCt","C_RptCt","C_UltCt","N_WP","N_EP","N_WComm","N_EComm","N_WFrontFee","N_EFrontFee","N_Paid","N_CaseRsv","N_CaseInc","N_IBNR","N_Unpaid","N_Ult","N_ClsCt","N_OpenCt","N_RptCt","N_UltCt","G_IBNRCt","G_UnclosedCt","C_IBNRCt","C_UnclosedCt","N_IBNRCt","N_UnclosedCt","CQ_WP","CQ_EP","XC_WP","XC_EP","XO_WP","XO_EP"
"Refund Protection",1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Refund Protection",2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Refund Protection",3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Refund Protection",4.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Refund Protection",5.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Refund Protection",6.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Refund Protection",7.000000,3.000000,1.000000,1060000.000000,176666.666667,636000.000000,106000.000000,53000.000000,8833.333333,9924.666403,21008.594655,30933.261058,4400.072275,25408.666930,35333.333333,6.118997,10.101864,16.220861,17.666667,954000.000000,159000.000000,572400.000000,95400.000000,0.000000,0.000000,8932.199763,18907.735189,27839.934953,3960.065047,22867.800237,31800.000000,6.118997,10.101864,16.220861,17.666667,106000.000000,17666.666667,63600.000000,10600.000000,53000.000000,8833.333333,992.466640,2100.859465,3093.326106,440.007227,2540.866693,3533.333333,0.000000,0.000000,0.000000,0.000000,1.445806,11.547669,1.445806,11.547669,0.000000,0.000000,954000.000000,159000.000000,0.000000,0.000000,0.000000,0.000000
"Refund Protection",8.000000,3.000000,1.000000,1060000.000000,530000.000000,636000.000000,318000.000000,53000.000000,26500.000000,39212.101880,57753.652170,96965.754049,9034.245951,66787.898120,106000.000000,23.559375,26.506423,50.065798,53.000000,954000.000000,477000.000000,572400.000000,286200.000000,0.000000,0.000000,35290.891692,51978.286953,87269.178644,8130.821356,60109.108308,95400.000000,23.559375,26.506423,50.065798,53.000000,106000.000000,53000.000000,63600.000000,31800.000000,53000.000000,26500.000000,3921.210188,5775.365217,9696.575405,903.424595,6678.789812,10600.000000,0.000000,0.000000,0.000000,0.000000,2.934202,29.440625,2.934202,29.440625,0.000000,0.000000,954000.000000,477000.000000,0.000000,0.000000,0.000000,0.000000
"Refund Protection",9.000000,3.000000,1.000000,1060000.000000,883333.333333,636000.000000,530000.000000,53000.000000,44166.666667,83211.931325,84167.786235,167379.717559,9286.949107,93454.735342,176666.666667,48.763305,36.591205,85.354510,88.333333,954000.000000,795000.000000,572400.000000,477000.000000,0.000000,0.000000,74890.738192,75751.007611,150641.745803,8358.254197,84109.261808,159000.000000,48.763305,36.591205,85.354510,88.333333,106000.000000,88333.333333,63600.000000,53000.000000,53000.000000,44166.666667,8321.193132,8416.778623,16737.971756,928.694911,9345.473534,17666.666667,0.000000,0.000000,0.000000,0.000000,2.978823,39.570028,2.978823,39.570028,0.000000,0.000000,954000.000000,795000.000000,0.000000,0.000000,0.000000,0.000000
"Refund Protection",10.000000,4.000000,1.000000,530000.000000,971666.666667,318000.000000,583000.000000,26500.000000,48583.333333,120900.388387,70725.696051,191626.084438,2707.248896,73432.944947,194333.333333,68.782986,27.571411,96.354398,97.166667,477000.000000,874500.000000,286200.000000,524700.000000,0.000000,0.000000,108810.349548,63653.126446,172463.475994,2436.524006,66089.650452,174900.000000,68.782986,27.571411,96.354398,97.166667,53000.000000,97166.666667,31800.000000,58300.000000,26500.000000,48583.333333,12090.038839,7072.569605,19162.608444,270.724890,7343.294495,19433.333333,0.000000,0.000000,0.000000,0.000000,0.812269,28.383680,0.812269,28.383680,0.000000,0.000000,477000.000000,874500.000000,0.000000,0.000000,0.000000,0.000000
