BS_HEADER,Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,
BS_SUBTITLE,Management Projections,,,,,,,,,,,,,,,,,,,,,,,,,
BS_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,
BS_SEC_ASSETS,Assets,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total
BS_CASH,Cash & Liquid Assets,-25000,972493.75,951488.73599415,935899.239692121,,916839.43384506,915324.580527665,931867.723389635,964233.107493356,,924033.104191724,3486179.11836597,3620008.79474937,3738481.51337845,,3756604.40237957,3852653.38800109,4156980.18291871,4565506.43041085,,4797467.42722386,5165385.4548284,5573023.2333513,6472967.66970283,
BS_INVEST,Invested Assets,0,18477381.25,18078285.9838888,17782085.5541503,,17419949.2430561,17391167.0300256,17705486.7444031,18320429.0423738,,17556628.9796428,66237403.2489534,68780167.1002381,71031148.7541906,,71375483.6452118,73200414.3720207,78982623.4754554,86744622.1778061,,91151881.1172532,98142323.6417397,105887441.433675,122986385.724354,
BS_AR,Premium Receivable,0,0,4102500,3297500,,12111750,9665000,11308250,11115000,,10444250,25043212.5,21834875,24129812.5,,23026155,22095023.5,46480983.825,43774174.09,,48915579.533,49516851.9396,48647364.20252,90624229.199274,
BS_RI_RECV,Reinsurance Recoverable,0,0,898463.470461588,2113730.24796781,,3560636.97616134,5719528.00619588,8724123.7659899,12107802.0784938,,15120095.7415954,19355280.6465816,25391771.9750622,32883882.8848282,,40698741.8501947,47948504.1025009,56875542.8472362,68714447.3673703,,82533911.2768074,98164640.2100364,113596996.038632,132430027.476732,
BS_CUPR,Ceded UPR (Prepaid Reinsurance),0,0,4131000,3830500,,19084550,24562800,27599350,27487800,,27244125,50277181.25,60015127.5,65775651.25,,66164371.25,64883989.25,99599572.35,119181037.97,,133632637.3321,140919427.27912,143126927.378044,200014805.793628,
BS_XOL_PREP,XOL Prepaid Premium,0,0,0,0,,0,0,0,0,,28125,18750,9375,0,,67500,45000,22500,0,,225000,150000,75000,0,
BS_OTHER_A,Other Assets,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BS_TOTAL_A,Total Assets,-25000,19449875,28161738.1903446,27959715.0418102,,53093725.6530625,58253819.6167492,66269078.2337826,69995264.2283609,,71317257.8254299,164418006.763901,179651325.37005,197558976.902397,,205088856.147786,212025584.612523,286118202.68061,322979788.035587,,361256476.686384,392058628.525324,416906752.286223,552528415.863691,
BS_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,
BS_SEC_LIAB,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,
BS_LOSS_RSV,Gross Loss Reserve,0,0,917028.600500833,2141330.61770751,,3588042.16248889,5751061.45060647,8781274.95068474,12165240.9009033,,15125381.1899421,19368371.3326145,25464680.9094678,33082579.6200343,,41232682.9873412,48537499.3768326,57713632.1184344,70066456.3242169,,85262602.6365809,102254913.24822,118789117.956394,139267939.426908,
BS_UPR,Unearned Premium Reserve,0,0,4290000,3910000,,19211750,24690000,27933250,27615000,,27081750,51925712.5,61831375,67510612.5,,65733115,63518375.5,103824006.225,124092050.97,,139067031.789,143686094.6468,145075455.45116,216507938.697642,
BS_AP,Premiums Payable (Reinsurance),0,0,3943500,3218000,,11905050,9458300,10894850,10908300,,9978125,23466181.25,20883877.5,22978851.25,,21537870,20566096,41462008.7,40449869.84,,42630083.9547,44275862.49564,42987898.907268,76515720.8980966,
BS_DEBT,Total Debt,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BS_TAX_PAY,Tax Payable,0,0,0,0,,0,0,14226.4745605859,83736.768973264,,0,36905.409617721,315116.694671735,520938.2359551,,568405.501447789,624609.526105511,824680.799794203,1189657.57343761,,1402276.04541588,1787052.9335352,2008035.70175683,2468145.23999408,
BS_OTHER_L,Other Liabilities,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BS_TOTAL_L,Total Liabilities,0,0,9150528.60050083,9269330.61770751,,34704842.1624889,39899361.4506065,47623601.4252453,50772277.6698766,,52185256.1899421,94797170.4922322,108495050.10414,124092981.605989,,129072073.488789,133246580.402938,203824327.843229,235798034.707654,,268361994.425697,292003923.324195,308860508.016579,434759744.262641,
BS_SPACER3,,,,,,,,,,,,,,,,,,,,,,,,,,
BS_SEC_EQUITY,Equity,,,,,,,,,,,,,,,,,,,,,,,,,
BS_PAIDIN,Paid-in Capital,0,20000000,20000000,20000000,,20000000,20000000,20000000,20000000,,20000000,70000000,70000000,70000000,,70000000,70000000,70000000,70000000,,70000000,70000000,70000000,70000000,
BS_APIC_EQ,Additional Paid-in Capital (Equity Comp),0,0,150000,312500,,487500,700000,937500,1200000,,1550000,1900000,2250000,2600000,,3012500,3425000,3837500,4250000,,4687500,5125000,5562500,6000000,
BS_RE,Retained Earnings,-25000,-550125,-1138790.41015625,-1622115.57589728,,-2098616.50942635,-2345541.83385731,-2292023.19146272,-1977013.44151568,,-2417998.36451216,-2279163.72833121,-1093724.73408992,865995.296407834,,3004282.65899713,5354004.20958453,8456374.83738177,12931753.3279328,,18206982.2606877,24929705.2011297,32483744.2696435,41768671.6010498,
BS_EQUITY,Total Equity,-25000,19449875,19011209.5898438,18690384.4241027,,18388883.4905737,18354458.1661427,18645476.8085373,19222986.5584843,,19132001.6354878,69620836.2716688,71156275.2659101,73465995.2964078,,76016782.6589971,78779004.2095845,82293874.8373818,87181753.3279328,,92894482.2606877,100054705.20113,108046244.269643,117768671.60105,
BS_SPACER_EQ,,,,,,,,,,,,,,,,,,,,,,,,,,
BS_TOTAL_LE,Total Liabilities + Equity,-25000,19449875,28161738.1903446,27959715.0418102,,53093725.6530625,58253819.6167492,66269078.2337826,69995264.2283609,,71317257.8254299,164418006.763901,179651325.37005,197558976.902397,,205088856.147786,212025584.612523,286118202.68061,322979788.035587,,361256476.686384,392058628.525324,416906752.286223,552528415.863691,
BS_CHECK,Balance Check (A - L&E),0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
