CFS_HEADER,Cash Flow Statement,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_SUBTITLE,Management Projections,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_SEC_CFO,Cash from Operations (CFO),Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total
CFS_NI,Net Income,-25000,-525125,-588665.41015625,-483325.165741027,-1622115.57589728,-476500.933529071,-246925.324430961,53518.6423945852,315009.749947041,-354897.865618407,-440984.922996479,138834.63618095,1185438.99424129,1959720.03049776,2843008.73792352,2138287.3625893,2349721.5505874,3102370.62779724,4475378.49055099,12065758.0315249,5275228.93275496,6722722.94044194,7554039.06851379,9284927.33140632,28836918.273117,41768671.6010498
CFS_EQCOMP,Add: Equity Compensation (non-cash),0,0,150000,162500,312500,175000,212500,237500,262500,887500,350000,350000,350000,350000,1400000,412500,412500,412500,412500,1650000,437500,437500,437500,437500,1750000,6000000
CFS_D_RSV,Change in Loss Reserves,0,0,917028.600500833,1224302.01720668,2141330.61770751,1446711.54478138,2163019.28811758,3030213.50007827,3383965.95021858,10023910.2831958,2960140.28903874,4242990.14267241,6096309.57685335,7617898.71056648,20917338.719131,8150103.36730686,7304816.38949144,9176132.74160178,12352824.2057825,36983876.7041826,15196146.312364,16992310.6116386,16534204.7081748,20478821.4705139,69201483.1026913,0
CFS_D_UPR,Change in UPR,0,0,4290000,-380000,3910000,15301750,5478250,3243250,-318250,23705000,-533250,24843962.5,9905662.5,5679237.5,39895612.5,-1777497.5,-2214739.5,40305630.725,20268044.745,56581438.47,14974980.819,4619062.85779998,1389360.80436003,71432483.246482,92415887.7276421,0
CFS_D_AR,Change in Prem Receivable,0,0,-4102500,805000,-3297500,-8814250,2446750,-1643250,193250,-7817500,670750,-14598962.5,3208337.5,-2294937.5,-13014812.5,1103657.5,931131.5,-24385960.325,2706809.735,-19644361.59,-5141405.44299999,-601272.406599998,869487.737079978,-41976864.996754,-46850055.109274,0
CFS_D_RI,Change in RI Recoverable,0,0,-898463.470461588,-1215266.77750622,-2113730.24796781,-1446906.72819353,-2158891.03003454,-3004595.75979402,-3383678.31250388,-9994071.83052596,-3012293.66310164,-4235184.90498619,-6036491.3284806,-7492110.90976595,-20776080.8063344,-7814858.96536653,-7249762.2523062,-8927038.74473534,-11838904.5201341,-35830564.4825422,-13819463.909437,-15630728.933229,-15432355.8285961,-18833031.4380998,-63715580.1093619,0
CFS_D_CUPR,Change in Prepaid RI (QS+XOL),0,0,-4131000,300500,-3830500,-15254050,-5478250,-3036550,111550,-23657300,215550,-23023681.25,-9728571.25,-5751148.75,-38287851.25,-456220,1302882,-34693083.1,-19558965.62,-53405386.72,-14676599.3621,-7211789.94701999,-2132500.09892401,-56812878.4155838,-80833767.8236278,0
CFS_D_AP,Change in Payables,0,0,3943500,-725500,3218000,8687050,-2446750,1436550,13450,7690300,-930175,13488056.25,-2582303.75,2094973.75,12070551.25,-1440981.25,-971774,20895912.7,-1012138.86,17471018.59,2180214.1147,1645778.54093999,-1287963.58837199,33527821.9908286,36065851.0580966,0
CFS_D_TAX,Change in Tax Payable,0,0,0,0,0,0,0,14226.4745605859,69510.294412678,83736.768973264,-83736.768973264,36905.409617721,278211.285054014,205821.541283365,437201.466981836,47467.2654926885,56204.0246577224,200071.273688692,364976.773643402,668719.337482505,212618.47197827,384776.888119322,220982.768221632,460109.538237254,1278487.66655648,0
CFS_CFO,Cash from Operations,-25000,-525125,-420100.280117006,-311789.926040574,-1282015.20615758,-381196.116941214,-30297.0663479222,330862.857239418,647307.68207442,566677.356024702,-804000.066032641,1242920.28348489,2676593.52766805,2369454.37258166,5484968.11770195,362457.780022319,1920979.71243036,6086535.89835237,8170524.94984276,16540498.3406478,4639219.93626022,7358360.5520909,8152755.57045808,17998888.7270305,38149224.7858397,59459353.3940566
CFS_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_SEC_CFI,Cash from Investing (CFI),,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_D_INV,Change in Invested Assets,0,-18477381.25,399095.266111154,296200.429738548,-17782085.5541503,362136.311094154,28782.2130305134,-314319.714377437,-614942.297970694,-538343.488223463,763800.062731002,-48680774.2693107,-2542763.85128464,-2250981.65395258,-52710719.7118169,-344334.891021177,-1824930.72680888,-5782209.10343474,-7761998.70235063,-15713473.4236154,-4407258.93944718,-6990442.52448641,-7745117.79193512,-17098944.290679,-36241763.5465477,0
CFS_CFI,Cash from Investing,0,-18477381.25,399095.266111154,296200.429738548,-17782085.5541503,362136.311094154,28782.2130305134,-314319.714377437,-614942.297970694,-538343.488223463,763800.062731002,-48680774.2693107,-2542763.85128464,-2250981.65395258,-52710719.7118169,-344334.891021177,-1824930.72680888,-5782209.10343474,-7761998.70235063,-15713473.4236154,-4407258.93944718,-6990442.52448641,-7745117.79193512,-17098944.290679,-36241763.5465477,-122986385.724354
CFS_SPACER3,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_SEC_CFF,Cash from Financing (CFF),,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_EQ_RAISE,Equity Raised,0,20000000,0,0,20000000,0,0,0,0,0,0,50000000,0,0,50000000,0,0,0,0,0,0,0,0,0,0,70000000
CFS_DEBT_NET,Net Debt Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFS_CFF,Cash from Financing,0,20000000,0,0,20000000,0,0,0,0,0,0,50000000,0,0,50000000,0,0,0,0,0,0,0,0,0,0,70000000
CFS_SPACER4,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_NET,Net Change in Cash,-25000,997493.75,-21005.0140058519,-15589.4963020259,935899.239692122,-19059.8058470599,-1514.85331740882,16543.1428619811,32365.3841037261,28333.8678012384,-40200.0033016392,2562146.01417423,133829.676383414,118472.718629071,2774248.40588508,18122.8890011418,96048.985621484,304326.794917631,408526.247492133,827024.917032389,231960.996813045,367918.027604495,407637.778522961,899944.436351519,1907461.23929202,6472967.66970285
