EXP_HEADER,Expense Summary,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP_BASIS,Management Projections,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP_SEC_UW,Underwriting Expenses,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total
EXP_NLLAE,Net Losses & LAE,0,0,31800,47700,79500,73140,82680,124020,124020,403860,336585,362764.5,498735.5,670194.5,1868279.5,1574163,1207917,1329447.85,1862353.35,5973881.2,4284420.0186,4744530.65732,4509164.273784,5111534.4422908,18649649.3919948,26975170.0919948
EXP_NACQ,Net Acquisition Expense,0,0,92275,129350,221625,163795,89290,35185,-254190,34080,-275202.5,-560610.375,-760947.625,-798916.125,-2395676.625,72891.75,-997283.349999998,-1288990.4075,-1261514.0965,-3474896.104,1262887.51905,741353.741610005,-949193.353817999,-1433801.1448941,-378753.238052092,-5993620.96705209
EXP_RIEXP,RI Expense (XOL),0,0,0,0,0,0,0,0,0,0,9375,9375,9375,9375,37500,22500,22500,22500,22500,90000,75000,75000,75000,75000,300000,427500
EXP_OTHUW,Other UW Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXP_UWEXP,Total UW Expenses,0,0,124075,177050,301125,236935,171970,159205,-130170,437940,70757.5,-188470.875,-252837.125,-119346.625,-489897.125,1669554.75,233133.650000002,62957.442499999,623339.2535,2588985.096,5622307.53765,5560884.39893001,3634970.919966,3752733.2973967,18570896.1539427,21409049.1249427
EXP_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP_SEC_OP,Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP_STAFF,Staffing Expense,0,0,716250,783125,1499375,869787.5,1035162.5,1187762.5,1300762.5,4393475,2382300,2382300,2382300,2382300,9529200,3301305,3301305,3301305,3301305,13205220,4054760.5,4054760.5,4054760.5,4054760.5,16219042,44846312
EXP_OTHER,Other Operating Expense,25000,525000,318250,321750,1190000,410250,370750,392750,399750,1573500,514250,464250,464250,464250,1907000,579250,529250,529250,529250,2167000,645000,595000,595000,595000,2430000,9267500
EXP_OPEXP,Total Operating Expenses,25000,525000,1034500,1104875,2689375,1280037.5,1405912.5,1580512.5,1700512.5,5966975,2896550,2846550,2846550,2846550,11436200,3880555,3830555,3830555,3830555,15372220,4699760.5,4649760.5,4649760.5,4649760.5,18649042,54113812
EXP_SPACER4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP_TOTAL,Total Expenses,25000,525000,1158575,1281925,2990500,1516972.5,1577882.5,1739717.5,1570342.5,6404915,2967307.5,2658079.125,2593712.875,2727203.375,10946302.875,5550109.75,4063688.65,3893512.4425,4453894.2535,17961205.096,10322068.03765,10210644.89893,8284731.419966,8402493.7973967,37219938.1539427,75522861.1249427
,,,,,,,,,,,,,,,,,,,,,,,,,,,
