IS_HEADER,Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SUBTITLE,Management Projections,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SEC_REV,Revenue,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total
IS_UWREV,Underwriting Revenue,0,0,354750,587250,942000,811787.5,1105987.5,1588762.5,1747512.5,5254050,2292912.5,2605279.375,3422483.125,4512228.125,12832903.125,7534277.875,6312451.825,7080719.47125,9326044.54675,30253493.718,16190418.61205,17870438.02821,16932338.265102,19163210.5290599,70156405.4344219,119438852.277422
IS_OTHREV,Other Revenue,0,-125,215159.58984375,211349.834258973,426384.424102723,228684.066470929,224969.675569039,218700.116955171,221576.518920305,893930.377915443,233410.077003521,228539.795798672,671785.438913023,695633.516452858,1829368.82816807,722524.739037091,725567.901692912,739844.398841441,792885.770738598,2980822.81031004,809154.403770855,849982.74469713,914467.925134616,992355.839737214,3565960.91333982,9696467.3538361
IS_TOTALREV,Total Revenue,0,-125,569909.58984375,798599.834258973,1368384.42410272,1040471.56647093,1330957.17556904,1807462.61695517,1969089.0189203,6147980.37791544,2526322.57700352,2833819.17079867,4094268.56391302,5207861.64145286,14662271.9531681,8256802.61403709,7038019.72669291,7820563.87009144,10118930.3174886,33234316.52831,16999573.0158208,18720420.7729071,17846806.1902366,20155566.3687971,73722366.3477617,129135319.631258
IS_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SEC_EXP,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_UWEXP,Underwriting Expenses,0,0,124075,177050,301125,236935,171970,159205,-130170,437940,70757.5,-188470.875,-252837.125,-119346.625,-489897.125,1669554.75,233133.650000002,62957.442499999,623339.2535,2588985.096,5622307.53765,5560884.39893001,3634970.919966,3752733.2973967,18570896.1539427,21409049.1249427
IS_OPEXP,Operating Expenses,25000,525000,1034500,1104875,2689375,1280037.5,1405912.5,1580512.5,1700512.5,5966975,2896550,2846550,2846550,2846550,11436200,3880555,3830555,3830555,3830555,15372220,4699760.5,4649760.5,4649760.5,4649760.5,18649042,54113812
IS_TOTALEXP,Total Expenses,25000,525000,1158575,1281925,2990500,1516972.5,1577882.5,1739717.5,1570342.5,6404915,2967307.5,2658079.125,2593712.875,2727203.375,10946302.875,5550109.75,4063688.65,3893512.4425,4453894.2535,17961205.096,10322068.03765,10210644.89893,8284731.419966,8402493.7973967,37219938.1539427,75522861.1249427
IS_SPACER3,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_OPINC,Operating Income,-25000,-525125,-588665.41015625,-483325.165741027,-1622115.57589728,-476500.933529071,-246925.324430961,67745.1169551711,398746.518920305,-256934.622084557,-440984.922996479,175740.045798671,1500555.68891302,2480658.26645286,3715969.07816807,2706692.86403709,2974331.07669291,3927051.42759144,5665036.0639886,15273111.43231,6677504.97817084,8509775.87397714,9562074.77027062,11753072.5714004,36502428.193819,53612458.5063153
IS_SPACER4,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SEC_BTL,Below the Line,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_INTEXP,Interest / Debt Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS_OTHINC,Other Income / (Expense),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS_SPACER5,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_PRETAX,Pre-Tax Income,-25000,-525125,-588665.41015625,-483325.165741027,-1622115.57589728,-476500.933529071,-246925.324430961,67745.1169551711,398746.518920305,-256934.622084557,-440984.922996479,175740.045798671,1500555.68891302,2480658.26645286,3715969.07816807,2706692.86403709,2974331.07669291,3927051.42759144,5665036.0639886,15273111.43231,6677504.97817084,8509775.87397714,9562074.77027062,11753072.5714004,36502428.193819,53612458.5063153
IS_TAX,Income Tax Expense,0,0,0,0,0,0,0,14226.4745605859,83736.768973264,97963.2435338499,0,36905.409617721,315116.694671735,520938.2359551,872960.340244556,568405.501447789,624609.526105511,824680.799794203,1189657.57343761,3207353.40078511,1402276.04541588,1787052.9335352,2008035.70175683,2468145.23999408,7665509.92070199,11843786.9052655
IS_SPACER6,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_NETINC,Net Income,-25000,-525125,-588665.41015625,-483325.165741027,-1622115.57589728,-476500.933529071,-246925.324430961,53518.6423945852,315009.749947041,-354897.865618407,-440984.922996479,138834.63618095,1185438.99424129,1959720.03049776,2843008.73792352,2138287.3625893,2349721.5505874,3102370.62779724,4475378.49055099,12065758.0315249,5275228.93275496,6722722.94044194,7554039.06851379,9284927.33140632,28836918.273117,41768671.6010498
IS_SPACER7,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SEC_KR_REV,Key Ratios - Revenue Composition,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_KR_NEP,NEP : Total Revenue,0,0,0.278991620484211,0.298647695339564,0.290488544738186,0.351475246210121,0.310603532246073,0.343077635013339,0.314917199802381,0.328449324147757,0.483637763095642,0.473973873788655,0.423586954037645,0.457617524058329,0.45575943287262,0.622854601278337,0.567235196124677,0.568744491942624,0.589195615340467,0.588094898336513,0.70870072374687,0.702425770053776,0.680069574112806,0.678344211285618,0.691876832774959,0.616802578185469
IS_KR_FFE,Fronting Fee : Total Rev,0,0,-0.343475532765939,-0.43670181865691,-0.39791449713193,-0.428735887048831,-0.520367982316103,-0.535923947147409,-0.572555374169008,-0.526148393644806,-0.423970996320834,-0.445378850565221,-0.412333570367091,-0.408808743698893,-0.419473489145799,-0.289638796855131,-0.329672182673784,-0.336653071310984,-0.332447706052087,-0.322213989533322,-0.243700762865894,-0.252170189352902,-0.268690561712791,-0.27242096089662,-0.259753030860745,-0.308109774364367
IS_KR_INV,Investment Inc : Total Rev,0,1,0.319950008518004,0.223396162064629,0.26353830822093,0.168655360797095,0.129160725079266,9.49526464553119E-02,8.87340269823668E-02,0.112839829607253,7.15639836736306E-02,6.11387659527755E-02,0.159652102564786,0.13033212011872,0.115020383865932,8.48954875785422E-02,0.100079760045961,9.23683409853359E-02,7.70272904192411E-02,8.74738886619107E-02,5.03561151156772E-02,4.80504767235947E-02,5.42679604662354E-02,5.18438349552433E-02,5.11243658343942E-02,0
