OED_HEADER,Other Expense Detail,,,,,,,,,,,,,,,,,,,,,,,,,,
OED_BASIS,Management Projections,,,,,,,,,,,,,,,,,,,,,,,,,,
OED_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OED_SEC_PERS,Personnel Expenses,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total
OED_PER_CONTRACT,Contractors & Consultants,0,0,50000,50000,100000,75000,75000,75000,75000,300000,100000,100000,100000,100000,400000,125000,125000,125000,125000,500000,150000,150000,150000,150000,600000,1900000
OED_PER_RECRUIT,Recruiting & Talent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OED_PER_TRAINING,Training & Development,0,0,15000,16250,31250,17500,21250,23750,26250,88750,35000,35000,35000,35000,140000,41250,41250,41250,41250,165000,43750,43750,43750,43750,175000,600000
OED_PER_TRAIN_RT,(Annual per-person rate),5000,,,,,,,,,,,,,,,,,,,,,,,,,
OED_PER_TOTAL,Total Personnel,0,0,65000,66250,131250,92500,96250,98750,101250,388750,135000,135000,135000,135000,540000,166250,166250,166250,166250,665000,193750,193750,193750,193750,775000,2500000
OED_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,,
OED_SEC_TECH,Technology & Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,
OED_NP_CLOUD,Cloud & Infrastructure,15000,15000,15000,15000,60000,15000,15000,15000,15000,60000,15000,15000,15000,15000,60000,15000,15000,15000,15000,60000,15000,15000,15000,15000,60000,300000
OED_NP_SAAS,SaaS & Productivity,0,0,15000,16250,31250,17500,21250,23750,26250,88750,35000,35000,35000,35000,140000,41250,41250,41250,41250,165000,43750,43750,43750,43750,175000,600000
OED_NP_SAAS_RT,(Annual per-person rate),5000,,,,,,,,,,,,,,,,,,,,,,,,,
