RowID,Metric,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Q1 Y6,Q2 Y6,Q3 Y6,Q4 Y6,Y6 Total,Q1 Y7,Q2 Y7,Q3 Y7,Q4 Y7,Y7 Total,Q1 Y8,Q2 Y8,Q3 Y8,Q4 Y8,Y8 Total,Q1 Y9,Q2 Y9,Q3 Y9,Q4 Y9,Y9 Total,Q1 Y10,Q2 Y10,Q3 Y10,Q4 Y10,Y10 Total,Q1 Y11,Q2 Y11,Q3 Y11,Q4 Y11,Y11 Total,Q1 Y12,Q2 Y12,Q3 Y12,Q4 Y12,Y12 Total,Q1 Y13,Q2 Y13,Q3 Y13,Q4 Y13,Y13 Total,Q1 Y14,Q2 Y14,Q3 Y14,Q4 Y14,Y14 Total,Q1 Y15,Q2 Y15,Q3 Y15,Q4 Y15,Y15 Total,Q1 Y16,Q2 Y16,Q3 Y16,Q4 Y16,Y16 Total,Q1 Y17,Q2 Y17,Q3 Y17,Q4 Y17,Y17 Total,Q1 Y18,Q2 Y18,Q3 Y18,Q4 Y18,Y18 Total,Q1 Y19,Q2 Y19,Q3 Y19,Q4 Y19,Y19 Total,Q1 Y20,Q2 Y20,Q3 Y20,Q4 Y20,Y20 Total,Q1 Y21,Q2 Y21,Q3 Y21,Q4 Y21,Y21 Total,Tail
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS_SEC_G_WP,Gross Written Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS_G_WP_1,Refund Protection,0,0,3180000,1590000,4770000,2067000,2067000,4134000,2067000,10335000,2067000,2687100,2687100,5374200,12815400,2687100,2687100,3493230,3493230,12360660,6986460,3493230,3493230,4541199,18514119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WP_2,Accident and Injury,0,0,2075000,830000,2905000,456500,913000,2282500,913000,4565000,871500,479325,958650,2396625,4706100,958650,915075,503291.25,1006582.5,3383598.75,2516456.25,1006582.5,960828.75,528455.8125,5012323.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WP_3,Event Cancellation,0,0,500000,450000,950000,600000,750000,900000,1050000,3300000,900000,1200000,1500000,1800000,5400000,2100000,1800000,2400000,3000000,9300000,3600000,4200000,3600000,4800000,16200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WP_4,Event Liability,0,0,1200000,1800000,3000000,3000000,3750000,4500000,4500000,15750000,3600000,6000000,7500000,9000000,26100000,9000000,7200000,12000000,15000000,43200000,18000000,18000000,14400000,24000000,74400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WP_5,Travel,0,0,750000,1125000,1875000,1000000,1250000,1500000,1500000,5250000,2250000,2000000,2500000,3000000,9750000,3000000,4500000,4000000,5000000,16500000,6000000,6000000,9000000,8000000,29000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WP_6,Tuition,0,0,250000,0,250000,14000000,5000000,1000000,0,20000000,0,21000000,7500000,1500000,30000000,0,0,31500000,11250000,42750000,2250000,0,0,47250000,49500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WP_7,Builders Risk,0,0,250000,600000,850000,2000000,2500000,3000000,3000000,10500000,1200000,4000000,5000000,6000000,16200000,6000000,2400000,8000000,10000000,26400000,12000000,12000000,4800000,16000000,44800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WP_8,Credit and Surety,0,0,0,200000,200000,600000,1100000,1300000,1200000,4200000,400000,1200000,2200000,2600000,6400000,2400000,800000,2400000,4400000,10000000,5200000,4800000,1600000,4800000,16400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WP_9,Other Short Tail,0,0,0,0,0,250000,1000000,2000000,4000000,7250000,4800000,5760000,6912000,8294400,25766400,9953280,11943936,14332723.2,17199267.84,53429207.04,20639121.408,24766945.6896,29720334.82752,35664401.793024,110790803.718144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WP_10,Other Long Tail,0,0,0,0,0,250000,1000000,2000000,4000000,7250000,4800000,5760000,6912000,8294400,25766400,9953280,11943936,14332723.2,17199267.84,53429207.04,20639121.408,24766945.6896,29720334.82752,35664401.793024,110790803.718144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WP_TOTAL,Total Gross Written Premium,0,0,8205000,6595000,14800000,24223500,19330000,22616500,22230000,88400000,20888500,50086425,43669750,48259625,162904300,46052310,44190047,92961967.65,87548348.18,270752672.83,97831159.066,99033703.8792,97294728.40504,181248458.398548,475408049.748788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_SEC_G_EP,Gross Earned Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS_G_EP_1,Refund Protection,0,0,1590000,2385000,3975000,1828500,2067000,3100500,3100500,10096500,2067000,2377050,2687100,4030650,11161800,4030650,2687100,3090165,3493230,13301145,5239845,5239845,3493230,4017214.5,17990134.5,2270599.5,0,0,0,2270599.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2270599.5
QS_G_EP_2,Accident and Injury,0,0,1037500,1452500,2490000,643250,684750,1597750,1597750,4523500,892250,675412.5,718987.5,1677637.5,3964287.5,1677637.5,936862.5,709183.125,754936.875,4078620,1761519.375,1761519.375,983705.625,744642.28125,5251386.65625,264227.90625,0,0,0,264227.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264227.90625
QS_G_EP_3,Event Cancellation,0,0,250000,475000,725000,525000,675000,825000,975000,3000000,975000,1050000,1350000,1650000,5025000,1950000,1950000,2100000,2700000,8700000,3300000,3900000,3900000,4200000,15300000,2400000,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000
QS_G_EP_4,Event Liability,0,0,600000,1500000,2100000,2400000,3375000,4125000,4500000,14400000,4050000,4800000,6750000,8250000,23850000,9000000,8100000,9600000,13500000,40200000,16500000,18000000,16200000,19200000,69900000,12000000,0,0,0,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000
QS_G_EP_5,Travel,0,0,375000,937500,1312500,1062500,1125000,1375000,1500000,5062500,1875000,2125000,2250000,2750000,9000000,3000000,3750000,4250000,4500000,15500000,5500000,6000000,7500000,8500000,27500000,4000000,0,0,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000
QS_G_EP_6,Tuition,0,0,31250,62500,93750,1812500,4187500,4906250,5000000,15906250,3250000,3500000,6312500,7312500,20375000,7500000,4875000,5250000,9468750,27093750,10968750,11250000,7312500,7875000,37406250,12093750,11812500,11812500,5906250,41625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41625000
QS_G_EP_7,Builders Risk,0,0,31250,137500,168750,462500,1025000,1681250,2325000,5493750,2525000,2612500,3050000,3675000,11862500,4650000,5050000,5225000,6100000,21025000,7350000,9300000,10100000,10450000,37200000,9700000,6700000,4600000,2000000,23000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000000
QS_G_EP_8,Credit and Surety,0,0,0,25000,25000,125000,337500,637500,925000,2025000,1025000,1012500,1137500,1425000,4600000,1850000,2050000,2025000,2275000,8200000,2850000,3700000,4100000,4050000,14700000,3450000,2200000,1400000,600000,7650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7650000
QS_G_EP_9,Other Short Tail,0,0,0,0,0,31250,187500,562500,1312500,2093750,2381250,3545000,4754000,5904800,16585050,7085760,8502912,10203494.4,12244193.28,38036359.68,14693031.936,17631638.3232,21157965.98784,25389559.185408,78872195.432448,25117810.753536,19442052.366336,12631142.301696,4458050.224128,61649055.645696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61649055.645696
QS_G_EP_10,Other Long Tail,0,0,0,0,0,31250,187500,562500,1312500,2093750,2381250,3545000,4754000,5904800,16585050,7085760,8502912,10203494.4,12244193.28,38036359.68,14693031.936,17631638.3232,21157965.98784,25389559.185408,78872195.432448,25117810.753536,19442052.366336,12631142.301696,4458050.224128,61649055.645696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61649055.645696
QS_G_EP_TOTAL,Total Gross Earned Premium,0,0,3915000,6975000,10890000,8921750,13851750,19373250,22548250,64695000,21421750,25242462.5,33764087.5,42580387.5,123008687.5,47829807.5,46404786.5,52656336.925,67280303.435,214171234.36,82856178.247,94414641.0214,95905367.60068,109815975.152066,382992162.021146,96414198.913322,59596604.732672,43074784.603392,17422350.448256,216507938.697642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216507938.697642
QS_SEC_G_WCOMM,Gross Written Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS_G_WCOMM_1,Refund Protection,0,0,1908000,954000,2862000,1240200,1240200,2480400,1240200,6201000,1240200,1612260,1612260,3224520,7689240,1612260,1612260,2095938,2095938,7416396,4191876,2095938,2095938,2724719.4,11108471.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QS_G_WCOMM_2,Accident and Injury,0,0,1037500,415000,1452500,228250,456500,1141250,456500,2282500,435750,239662.5,479325,1198312.5,2353050,479325,457537.5,251645.625,503291.25,1691799.375,1258228.125,503291.25,480414.375,264227.90625,2506161.65625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
