RBC_HEADER,RBC Capital Model,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_BASIS,P&C Risk-Based Capital -- Quarterly Trajectory,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_SEC_FACTORS,Risk Charge Factors,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R1_GOV,Govt Bond Risk Charge,0.003,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R1_CORP,Corp Bond Risk Charge,0.01,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R1_MUNI,Muni Bond Risk Charge,0.003,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R1_CASH,Cash Risk Charge,0,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R1_EQ,Equity Risk Charge,0.15,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R1_ALT,Alternative Risk Charge,0.2,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R2_RSV,Reserve Risk Factor,0.15,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R2_PREM,Premium Risk Factor,0.1,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R3_RATE,Interest Rate Risk Factor,0.02,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R4_BIZ,Business Risk Factor,0.03,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R5_CRED,RI Credit Risk Factor,0.1,,,,,,,,,,,,,,,,,,,,,,,,
RBC_TARGET,Target RBC Ratio,3,,,,,,,,,,,,,,,,,,,,,,,,
RBC_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_SEC_RISK,Risk Components,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total
RBC_INVESTED,Total Invested Assets,0,18477381.25,18078285.9838888,17782085.5541503,,17419949.2430561,17391167.0300256,17705486.7444031,18320429.0423738,,17556628.9796428,66237403.2489534,68780167.1002381,71031148.7541906,,71375483.6452118,73200414.3720207,78982623.4754554,86744622.1778061,,91151881.1172532,98142323.6417397,105887441.433675,122986385.724354,
RBC_LIQUID,Liquid Cash,-25000,972493.75,951488.73599415,935899.239692121,,916839.43384506,915324.580527665,931867.723389635,964233.107493356,,924033.104191724,3486179.11836597,3620008.79474937,3738481.51337845,,3756604.40237957,3852653.38800109,4156980.18291871,4565506.43041085,,4797467.42722386,5165385.4548284,5573023.2333513,6472967.66970283,
RBC_SPACER3,,,,,,,,,,,,,,,,,,,,,,,,,,
RBC_R0,R0: Affiliate Risk,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
RBC_R1,R1: Fixed Income Risk,-132.5,103084.3375,100857.80601538,99205.3194073648,,97184.9799875764,97024.4055359325,98777.9786793013,102208.709394296,,97947.5090443228,369534.986546793,383720.932243433,396279.040418116,,398200.066652234,408381.259128115,440639.899389383,483943.68162355,,508531.547285729,547530.858211811,590740.462735238,686134.5729885,
RBC_R2,R2: Insurance Risk,0,0,34584.7695058867,20040.0554609547,,45450.7779491334,46070.0166615894,91252.6777042265,49955.8233614316,,94017.817251997,317369.852904929,201135.840160842,259996.760280921,,377748.170571971,394134.791149757,1129508.41567972,867662.193526978,,1666402.81962602,1661738.84451947,1910711.34671467,3847388.45276186,
RBC_R3,R3: Interest Rate Risk,0,369547.625,361565.719677777,355641.711083006,,348398.984861123,347823.340600513,354109.734888061,366408.580847475,,351132.579592855,1324748.06497907,1375603.34200476,1420622.97508381,,1427509.67290424,1464008.28744041,1579652.46950911,1734892.44355612,,1823037.62234506,1962846.47283479,2117748.8286735,2459727.71448707,
RBC_R4,R4: Business Risk,0,0,246150,197850,,726705,579900,678495,666900,,626655,1502592.75,1310092.5,1447788.75,,1381569.3,1325701.41,2788859.0295,2626450.4454,,2934934.77198,2971011.116376,2918841.8521512,5437453.75195644,
RBC_R5,R5: Credit Risk,0,0,89846.3470461588,211373.024796781,,356063.697616134,571952.800619588,872412.37659899,1210780.20784938,,1512009.57415954,1935528.06465816,2539177.19750622,3288388.28848282,,4069874.18501947,4794850.41025009,5687554.28472362,6871444.73673703,,8253391.12768074,9816464.02100364,11359699.6038632,13243002.7476732,
RBC_SPACER4,,,,,,,,,,,,,,,,,,,,,,,,,,
