REV_HEADER,Revenue Summary,,,,,,,,,,,,,,,,,,,,,,,,,,
REV_BASIS,Management Projections,,,,,,,,,,,,,,,,,,,,,,,,,,
REV_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,,
REV_SEC_UW,Underwriting Revenue,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total
REV_NEP,Net Earned Premium,0,0,159000,238500,397500,365700,413400,620100,620100,2019300,1221825,1343156.25,1734278.75,2383208.75,6682468.75,5142787.5,3992212.5,4447902.625,5962029.375,19544932,12047609.6997,13149705.97714,12137069.885068,13672411.7714566,51006797.3333646,79650998.0833646
REV_FFE,Fronting Fees (Earned),0,0,195750,348750,544500,446087.5,692587.5,968662.5,1127412.5,3234750,1071087.5,1262123.125,1688204.375,2129019.375,6150434.375,2391490.375,2320239.325,2632816.84625,3364015.17175,10708561.718,4142808.91235,4720732.05107,4795268.380034,5490798.7576033,19149608.1010573,39787854.1940573
REV_UWREV,Total UW Revenue,0,0,354750,587250,942000,811787.5,1105987.5,1588762.5,1747512.5,5254050,2292912.5,2605279.375,3422483.125,4512228.125,12832903.125,7534277.875,6312451.825,7080719.47125,9326044.54675,30253493.718,16190418.61205,17870438.02821,16932338.265102,19163210.5290599,70156405.4344219,119438852.277422
REV_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,,
REV_SEC_OTH,Other Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
REV_INVEST,Investment Income,0,-125,170794.21484375,167105.209258973,337774.424102723,164367.303970929,161019.925569039,160753.879455171,163659.268920305,649800.377915443,169343.439503521,162283.313923672,612260.207663023,635764.044577858,1579651.00566807,656570.815787091,659753.648167912,676622.251267691,730069.644625098,2723016.35984779,801817.066840905,842555.21690619,907170.820504238,978762.205357323,3530305.30960866,8820547.47714269
REV_SOFTWARE,Technology Revenue,0,0,44365.375,44244.625,88610,64316.7625,63949.75,57946.2375,57917.25,244130,64066.6375,66256.481875,59525.23125,59869.471875,249717.8225,65953.92325,65814.253525,63222.14757375,62816.1261135,257806.45046225,7337.33692995,7427.52779094,7297.104630378,13593.6343798911,35655.6037311591,875919.876693409
REV_FEE,Fee Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV_CONSULT,Consulting Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV_OTHREV,Total Other Revenue,0,-125,215159.58984375,211349.834258973,426384.424102723,228684.066470929,224969.675569039,218700.116955171,221576.518920305,893930.377915443,233410.077003521,228539.795798672,671785.438913023,695633.516452858,1829368.82816807,722524.739037091,725567.901692912,739844.398841441,792885.770738598,2980822.81031004,809154.403770855,849982.74469713,914467.925134616,992355.839737214,3565960.91333982,9696467.3538361
REV_SPACER3,,,,,,,,,,,,,,,,,,,,,,,,,,,
REV_TOTAL,Total Revenue,0,-125,569909.58984375,798599.834258973,1368384.42410272,1040471.56647093,1330957.17556904,1807462.61695517,1969089.0189203,6147980.37791544,2526322.57700352,2833819.17079867,4094268.56391302,5207861.64145286,14662271.9531681,8256802.61403709,7038019.72669291,7820563.87009144,10118930.3174886,33234316.52831,16999573.0158208,18720420.7729071,17846806.1902366,20155566.3687971,73722366.3477617,129135319.631258
,,,,,,,,,,,,,,,,,,,,,,,,,,,
