UWEX_HEADER,UW Executive Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_BASIS,Quarterly Projection -- Portfolio View,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_SEC_PREM,Premium,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total,Tail
UWEX_GWP,Gross Written Premium,0,0,8205000,6595000,14800000,24223500,19330000,22616500,22230000,88400000,20888500,50086425,43669750,48259625,162904300,46052310,44190047,92961967.65,87548348.18,270752672.83,97831159.066,99033703.8792,97294728.40504,181248458.398548,475408049.748788,1012265022.57879,0
UWEX_GEP,Gross Earned Premium,0,0,3915000,6975000,10890000,8921750,13851750,19373250,22548250,64695000,21421750,25242462.5,33764087.5,42580387.5,123008687.5,47829807.5,46404786.5,52656336.925,67280303.435,214171234.36,82856178.247,94414641.0214,95905367.60068,109815975.152066,382992162.021146,795757083.881146,216507938.697642
UWEX_CWP,Less: QS Ceded Written Premium,0,0,-7887000,-6436000,-14323000,-23810100,-18916600,-21789700,-21816600,-86333000,-19956250,-46932362.5,-41767755,-45957702.5,-154614070,-43075740,-41132192,-82924017.4,-80899739.68,-248031689.08,-85260167.9094,-88551724.99128,-85975797.814536,-153031441.796193,-412819132.511409,-916120891.591409,0
UWEX_CEP,Less: QS Ceded Earned Premium,0,0,-3756000,-6736500,-10492500,-8556050,-13438350,-18753150,-21928150,-62675700,-20199925,-23899306.25,-32029808.75,-40197178.75,-116326218.75,-42687020,-42412574,-48208434.3,-61318274.06,-194626302.36,-70808568.5473,-81264935.04426,-83768297.715612,-96143563.3806094,-331985364.687781,-716106085.797781,-186211059.446628
UWEX_NWP,Net Written Premium,0,0,318000,159000,477000,413400,413400,826800,413400,2067000,932250,3154062.5,1901995,2301922.5,8290230,2976570,3057855,10037950.25,6648608.5,22720983.75,12570991.1566,10481978.88792,11318930.590504,28217016.6023548,62588917.2373788,96144130.9873788,0
UWEX_NEP,Net Earned Premium,0,0,159000,238500,397500,365700,413400,620100,620100,2019300,1221825,1343156.25,1734278.75,2383208.75,6682468.75,5142787.5,3992212.5,4447902.625,5962029.375,19544932,12047609.6997,13149705.97714,12137069.885068,13672411.7714566,51006797.3333646,79650998.0833646,30296879.2510142
UWEX_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_SEC_LOSS,Losses,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_GLLAE,Gross Losses & LAE,0,0,1156750,2064875,3221625,2837375,4658550,6577950,7899200,21973075,7837800,9434325,12814015,16049485,46135625,18217945,18137577,20692700.65,26452314.03,83500536.68,32318108.686,37194215.0732,38720094.23784,44615858.997908,152848276.994948,307679138.674948,0
UWEX_CLLAE,Less: Ceded Losses & LAE,0,0,-1124950,-2017175,-3142125,-2764235,-4575870,-6453930,-7775180,-21569215,-7501215,-9071560.5,-12315279.5,-15379290.5,-44267345.5,-16643782,-16929660,-19363252.8,-24589960.68,-77526655.48,-28033688.6674,-32449684.41588,-34210929.964056,-39504324.5556172,-134198627.602953,-280703968.582953,0
UWEX_NLLAE,Net Losses & LAE,0,0,31800,47700,79500,73140,82680,124020,124020,403860,336585,362764.5,498735.5,670194.5,1868279.5,1574163,1207917,1329447.85,1862353.35,5973881.2,4284420.0186,4744530.65732,4509164.273784,5111534.4422908,18649649.3919948,26975170.0919948,0
UWEX_GLR,Gross Loss Ratio,0,0,0.295466155810983,0.296039426523298,0.295833333333333,0.31802897413624,0.336314906058801,0.339537764701328,0.350324304546916,0.339641007805858,0.365880471950237,0.373748203052693,0.379516105684775,0.376922004291295,0.375059891603185,0.380891037456088,0.390855736401244,0.392976455606345,0.39316579562629,0.389877459171964,0.39005068022396,0.393945416418726,0.403732295767411,0.406278402902008,0.399089830424542,0.386649575488922,0
UWEX_NLR,Net Loss Ratio,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.275477257381376,0.270083618342989,0.287575166333555,0.28121518939539,0.279579234844907,0.306091394987641,0.302568312683756,0.298893200253006,0.312369032901654,0.305648604968285,0.355624071944055,0.360808877823435,0.371520005774337,0.373857555472544,0.365630668204994,0.338667069353757,0
UWEX_SPACER3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_SEC_COMM,Commissions & Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_GCOMM,Gross Commission,0,0,2037750,3549750,5587500,4315600,6545075,9115425,10322925,30299025,9388200,10896686.25,14508303.75,18449318.75,53242508.75,20457240.75,19290229.65,21778636.6425,27883716.7335,89409823.776,34599164.0427,38971813.51374,38694617.003988,44097841.2704106,156363435.830839,334902293.356839,84871312.6051122
UWEX_CEDCOMM,Less: Ceding Commission,0,0,-1945475,-3420400,-5365875,-4151805,-6455785,-9080240,-10577115,-30264945,-9663402.5,-11457296.625,-15269251.375,-19248234.875,-55638185.375,-20384349,-20287513,-23067627.05,-29145230.83,-92884719.88,-33336276.52365,-38230459.77213,-39643810.357806,-45531642.4153047,-156742189.068891,-340895914.323891,-90437559.6983139
UWEX_NCOMM,Net Acquisition Cost,0,0,92275,129350,221625,163795,89290,35185,-254190,34080,-275202.5,-560610.375,-760947.625,-798916.125,-2395676.625,72891.75,-997283.349999998,-1288990.4075,-1261514.0965,-3474896.104,1262887.51905,741353.741610005,-949193.353817999,-1433801.1448941,-378753.238052092,-5993620.96705209,-5566247.0932017
UWEX_GFFE,Less: Fronting Fee (earned),0,0,-195750,-348750,-544500,-446087.5,-692587.5,-968662.5,-1127412.5,-3234750,-1071087.5,-1262123.125,-1688204.375,-2129019.375,-6150434.375,-2391490.375,-2320239.325,-2632816.84625,-3364015.17175,-10708561.718,-4142808.91235,-4720732.05107,-4795268.380034,-5490798.7576033,-19149608.1010573,-39787854.1940573,-10825396.9348821
UWEX_NACQ,Total Acquisition Cost,0,0,-103475,-219400,-322875,-282292.5,-603297.5,-933477.5,-1381602.5,-3200670,-1346290,-1822733.5,-2449152,-2927935.5,-8546111,-2318598.625,-3317522.675,-3921807.25375,-4625529.26825,-14183457.822,-2879921.3933,-3979378.30945999,-5744461.733852,-6924599.9024974,-19528361.3391094,-45781475.1611094,-16391644.0280838
UWEX_SPACER4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_SEC_RIEXP,XOL Reinsurance Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_CATXOLWP,CAT XOL Written Premium,0,0,0,0,0,0,0,0,0,0,37500,0,0,0,37500,90000,0,0,0,90000,300000,0,0,0,300000,427500,0
UWEX_OTHXOLWP,Other XOL Written Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UWEX_CATXOL,CAT XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,9375,9375,9375,9375,37500,22500,22500,22500,22500,90000,75000,75000,75000,75000,300000,427500,0
UWEX_OTHXOL,Other XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UWEX_RIEXP,Total XOL RI Expense,0,0,0,0,0,0,0,0,0,0,9375,9375,9375,9375,37500,22500,22500,22500,22500,90000,75000,75000,75000,75000,300000,427500,0
UWEX_XOLUPR,XOL Unearned Premium,0,0,0,0,0,0,0,0,0,0,28125,18750,9375,0,0,67500,45000,22500,0,0,225000,150000,75000,0,0,0,0
UWEX_SPACER4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_SEC_UW,Underwriting Result,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_GUWRES,Gross UW Result,0,0,720500,1360375,2080875,1768775,2648125,3679875,4326125,12422900,4195750,4911451.25,6441768.75,8081583.75,23630553.75,9154621.75,8976979.85,10184999.6325,12944272.6715,41260873.904,15938905.5183,18248612.43446,18490656.358852,21102274.8837474,73780449.1953594,153175651.849359,131636626.09253
UWEX_UWINC,Net UW Result,0,0,230675,410200,640875,574852.5,934017.5,1429557.5,1877682.5,4816110,2222155,2793750.25,3675320.25,4631574.75,13322800.25,5864723.125,6079318.175,7017762.02875,8702705.29325,27664508.622,10568111.0744,12309553.62928,13297367.345136,15410477.2316632,51585509.2804792,98029803.1524792,46688523.279098
UWEX_GUWMARGIN,Gross UW Margin,0,0,0.184035759897829,0.195035842293907,0.191081267217631,0.198254266259422,0.191176205172632,0.189946188688011,0.191860787422527,0.192022567431795,0.195864016711987,0.194571003126181,0.190787586070555,0.189795918367347,0.192104754796282,0.19139992879963,0.19344943759196,0.193424006060406,0.192393196977858,0.1926536681142,0.192368340605634,0.193281595280585,0.192801058183118,0.192160337824495,0.19264219091587,0.192490465937514,0.607999073310486
UWEX_UWMARGIN,Net UW Margin,0,0,1.45078616352201,1.71991614255765,1.6122641509434,1.57192370795734,2.25935534591195,2.30536606998871,3.0280317690695,2.38503937007874,1.81871790149981,2.07998901840348,2.11922117479673,1.94341966476919,1.99369435884006,1.14037827248355,1.52279423377388,1.57776880934978,1.45968842920201,1.41543130577277,0.87719567099382,0.936108659058951,1.0955994709642,1.12712208272099,1.01134578090313,1.23074167946871,1.54103407457503
UWEX_CR,Combined Ratio,0,0,-0.450786163522013,-0.719916142557652,-0.612264150943396,-0.571923707957342,-1.25935534591195,-1.30536606998871,-2.0280317690695,-1.38503937007874,-0.818717901499806,-1.07998901840348,-1.11922117479673,-0.94341966476919,-0.993694358840062,-0.140378272483551,-0.522794233773878,-0.577768809349778,-0.459688429202011,-0.41543130577277,0.12280432900618,6.38913409410493E-02,-9.55994709641982E-02,-0.127122082720994,-1.13457809031278E-02,-0.230741679468711,-0.541034074575026
UWEX_RETMARGIN,Retained Margin,0,0,5.89208173690932E-02,5.88100358422939E-02,5.88498622589532E-02,6.44327065878331E-02,6.74295666612522E-02,7.37902778315461E-02,8.32739791336356E-02,0.074443310920473,0.103733588525681,0.11067661287008,0.108852941753572,0.108772489447166,0.108307799398315,0.122616490250353,0.131006273997188,0.133274785877066,0.129349970926599,0.129170047997663,0.127547653029515,0.130377592882972,0.138650918898534,0.140330013099859,0.134690770192919,0.123190613238852,0.215643470442437
UWEX_SPACER5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_SEC_RSV,Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_GRSV,Gross Loss Reserve,0,0,917028.600500833,2141330.61770751,2141330.61770751,3588042.16248889,5751061.45060647,8781274.95068474,12165240.9009033,12165240.9009033,15125381.1899421,19368371.3326145,25464680.9094678,33082579.6200343,33082579.6200343,41232682.9873412,48537499.3768326,57713632.1184344,70066456.3242169,70066456.3242169,85262602.6365809,102254913.24822,118789117.956394,139267939.426908,139267939.426908,139267939.426908,-139267939.426908
UWEX_CRSV,Less: Ceded Loss Reserve,0,0,-898463.470461588,-2113730.24796781,-2113730.24796781,-3560636.97616134,-5719528.00619588,-8724123.7659899,-12107802.0784938,-12107802.0784938,-15120095.7415954,-19355280.6465816,-25391771.9750622,-32883882.8848282,-32883882.8848282,-40698741.8501947,-47948504.1025009,-56875542.8472362,-68714447.3673703,-68714447.3673703,-82533911.2768074,-98164640.2100364,-113596996.038632,-132430027.476732,-132430027.476732,-132430027.476732,127664309.724374
UWEX_NRSV,Net Loss Reserve,0,0,18565.1300392444,27600.3697396982,27600.3697396982,27405.1863275561,31533.444410596,57151.1846948434,57438.8224095441,57438.8224095441,5285.4483466465,13090.6860328615,72908.93440561,198696.735206142,198696.735206142,533941.137146473,588995.274331711,838089.271198153,1352008.95684652,1352008.95684652,2728691.3597735,4090273.03818317,5192121.91776182,6837911.95017588,6837911.95017588,6837911.95017588,-11603629.7025343
UWEX_GUPR,Gross Unearned Premium Reserve,0,0,4290000,3910000,3910000,19211750,24690000,27933250,27615000,27615000,27081750,51925712.5,61831375,67510612.5,67510612.5,65733115,63518375.5,103824006.225,124092050.97,124092050.97,139067031.789,143686094.6468,145075455.45116,216507938.697642,216507938.697642,216507938.697642,0
UWEX_NUPR,Net Unearned Premium Reserve,0,0,159000,79500,79500,127200,127200,333900,127200,127200,-162375,1648531.25,1816247.5,1734961.25,1734961.25,-431256.25,-1365613.75,4224433.875,4911013,4911013,5434394.4569,2766667.36767998,1948528.073116,16493132.9040142,16493132.9040142,16493132.9040142,-13803746.347
UWEX_SPACER6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_SEC_METRICS,Supporting Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWEX_PROG_COUNT,Active Program Count,0,0,7,7,7,10,10,9,9,9,10,10,9,9,9,10,10,9,9,9,0,0,0,0,0,0,0
