PD_HEADER,UW Program Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_BASIS,Per-Program Quarterly Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SPACER0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SEC_TOTAL,All Programs - Total,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total,Tail
PD_GEP_TOTAL,Gross Earned Premium,0,0,3915000,6975000,10890000,8921750,13851750,19373250,22548250,64695000,21421750,25242462.5,33764087.5,42580387.5,123008687.5,47829807.5,46404786.5,52656336.925,67280303.435,214171234.36,82856178.247,94414641.0214,95905367.60068,109815975.152066,382992162.021146,795757083.881146,216507938.697642
PD_CEP_TOTAL,Ceded Earned Premium,0,0,-3756000,-6736500,-10492500,-8556050,-13438350,-18753150,-21928150,-62675700,-20199925,-23899306.25,-32029808.75,-40197178.75,-116326218.75,-42687020,-42412574,-48208434.3,-61318274.06,-194626302.36,-70808568.5473,-81264935.04426,-83768297.715612,-96143563.3806094,-331985364.687781,-716106085.797781,-186211059.446628
PD_NEP_TOTAL,Net Earned Premium,0,0,159000,238500,397500,365700,413400,620100,620100,2019300,1221825,1343156.25,1734278.75,2383208.75,6682468.75,5142787.5,3992212.5,4447902.625,5962029.375,19544932,12047609.6997,13149705.97714,12137069.885068,13672411.7714566,51006797.3333646,79650998.0833646,30296879.2510142
PD_GECOMM_TOTAL,Gross Commission (Earned),0,0,2037750,3549750,5587500,4315600,6545075,9115425,10322925,30299025,9388200,10896686.25,14508303.75,18449318.75,53242508.75,20457240.75,19290229.65,21778636.6425,27883716.7335,89409823.776,34599164.0427,38971813.51374,38694617.003988,44097841.2704106,156363435.830839,334902293.356839,84871312.6051122
PD_CECOMM_TOTAL,Less: Ceding Commission,0,0,-1945475,-3420400,-5365875,-4151805,-6455785,-9080240,-10577115,-30264945,-9663402.5,-11457296.625,-15269251.375,-19248234.875,-55638185.375,-20384349,-20287513,-23067627.05,-29145230.83,-92884719.88,-33336276.52365,-38230459.77213,-39643810.357806,-45531642.4153047,-156742189.068891,-340895914.323891,-90437559.6983139
PD_NCOMM_TOTAL,Net Acquisition Cost,0,0,92275,129350,221625,163795,89290,35185,-254190,34080,-275202.5,-560610.375,-760947.625,-798916.125,-2395676.625,72891.75,-997283.349999998,-1288990.4075,-1261514.0965,-3474896.104,1262887.51905,741353.741610005,-949193.353817999,-1433801.1448941,-378753.238052092,-5993620.96705209,-5566247.0932017
PD_GFFE_TOTAL,Less: Fronting Fee (Earned),0,0,-195750,-348750,-544500,-446087.5,-692587.5,-968662.5,-1127412.5,-3234750,-1071087.5,-1262123.125,-1688204.375,-2129019.375,-6150434.375,-2391490.375,-2320239.325,-2632816.84625,-3364015.17175,-10708561.718,-4142808.91235,-4720732.05107,-4795268.380034,-5490798.7576033,-19149608.1010573,-39787854.1940573,-10825396.9348821
PD_NACQ_TOTAL,Total Acquisition Cost,0,0,-103475,-219400,-322875,-282292.5,-603297.5,-933477.5,-1381602.5,-3200670,-1346290,-1822733.5,-2449152,-2927935.5,-8546111,-2318598.625,-3317522.675,-3921807.25375,-4625529.26825,-14183457.822,-2879921.3933,-3979378.30945999,-5744461.733852,-6924599.9024974,-19528361.3391094,-45781475.1611094,-16391644.0280838
PD_CATXOL_TOTAL,CAT XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,9375,9375,9375,9375,37500,22500,22500,22500,22500,90000,75000,75000,75000,75000,300000,427500,0
PD_OTHXOL_TOTAL,Other XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_RIEXP_TOTAL,Total XOL RI Expense,0,0,0,0,0,0,0,0,0,0,9375,9375,9375,9375,37500,22500,22500,22500,22500,90000,75000,75000,75000,75000,300000,427500,0
PD_GPAID_TOTAL,Gross Paid Losses,0,0,239721.399499167,840572.982793322,1080294.38229249,1390663.45521862,2495530.71188242,3547736.49992173,4515234.04978142,11949164.7168042,4877659.71096126,5191334.85732759,6717705.42314665,8431586.28943352,25218286.280869,10067841.6326931,10832760.6105086,11516567.9083982,14099489.8242175,46516659.9758174,17121962.373636,20201904.4615613,22185889.5296652,24137037.5273941,83646793.8922567,168411199.24804,139267939.426908
PD_GCRSV_TOTAL,Change in Gross Case Reserve,0,0,358239.408029906,478779.186773982,837018.594803888,601128.678597,793110.868304624,864303.74822873,798055.113985656,3056598.40911601,294018.949233701,778069.70314381,1411888.64088717,1723222.98629972,4207200.2795644,1738614.2551216,1118692.40884268,1883564.19368528,2898170.94959252,7639041.80724208,3399763.60011721,3532665.38791506,2830918.0553785,4132527.17687301,13895874.2202838,29635733.3110102,-59271466.6220203
